Task,Start,End,Execution_Time_ms,Deadline_ms,Deviation_ms,Violation
Brake_Pedal_Read,367.604,371.625,4.021000000000015,5,-0.978999999999985,False
ABS_Control,372.372,383.469,11.09699999999998,10,1.09699999999998,True
Brake_Output,384.855,390.556,5.700999999999965,5,0.700999999999965,True
Brake_Pedal_Read,391.302,397.154,5.851999999999975,5,0.8519999999999754,True
ABS_Control,398.57,410.308,11.738,10,1.7379999999999995,True
Brake_Output,411.868,418.824,6.956000000000017,5,1.9560000000000173,True
Brake_Pedal_Read,420.379,426.584,6.204999999999984,5,1.204999999999984,True
ABS_Control,427.241,440.125,12.884000000000015,10,2.8840000000000146,True
Brake_Output,440.973,447.53,6.5569999999999595,5,1.5569999999999595,True
Brake_Pedal_Read,449.485,454.654,5.168999999999983,5,0.16899999999998272,True
ABS_Control,455.79,464.133,8.342999999999961,10,-1.657000000000039,False
Brake_Output,464.927,471.806,6.878999999999962,5,1.8789999999999623,True
Brake_Pedal_Read,472.843,478.311,5.467999999999961,5,0.4679999999999609,True
ABS_Control,479.223,488.906,9.682999999999993,10,-0.3170000000000073,False
Brake_Output,490.171,496.332,6.161000000000001,5,1.1610000000000014,True
Brake_Pedal_Read,497.936,504.717,6.781000000000006,5,1.781000000000006,True
ABS_Control,506.375,519.055,12.67999999999995,10,2.67999999999995,True
Brake_Output,520.362,527.007,6.644999999999982,5,1.6449999999999818,True
Brake_Pedal_Read,527.822,534.291,6.469000000000051,5,1.469000000000051,True
ABS_Control,535.053,544.912,9.859000000000037,10,-0.1409999999999627,False
Brake_Output,545.583,550.349,4.766000000000076,5,-0.2339999999999236,False
Brake_Pedal_Read,551.009,557.072,6.062999999999988,5,1.0629999999999882,True
ABS_Control,558.471,567.047,8.576000000000022,10,-1.4239999999999782,False
Brake_Output,567.964,572.27,4.305999999999926,5,-0.6940000000000737,False
Brake_Pedal_Read,574.148,579.441,5.293000000000006,5,0.29300000000000637,True
ABS_Control,580.44,589.001,8.560999999999922,10,-1.4390000000000782,False
Brake_Output,590.178,596.942,6.76400000000001,5,1.76400000000001,True
Brake_Pedal_Read,598.754,604.704,5.949999999999932,5,0.9499999999999318,True
ABS_Control,605.728,615.21,9.482000000000085,10,-0.5179999999999154,False
Brake_Output,616.253,622.485,6.231999999999971,5,1.231999999999971,True
Brake_Pedal_Read,623.231,629.358,6.126999999999953,5,1.1269999999999527,True
ABS_Control,630.369,642.249,11.879999999999995,10,1.8799999999999955,True
Brake_Output,643.022,648.892,5.8700000000000045,5,0.8700000000000045,True
Brake_Pedal_Read,649.647,654.439,4.791999999999916,5,-0.20800000000008367,False
ABS_Control,656.002,666.068,10.066000000000031,10,0.06600000000003092,True
Brake_Output,667.439,672.603,5.163999999999987,5,0.16399999999998727,True
Brake_Pedal_Read,674.016,678.789,4.773000000000025,5,-0.22699999999997544,False
ABS_Control,680.674,693.929,13.254999999999995,10,3.2549999999999955,True
Brake_Output,695.736,700.127,4.390999999999963,5,-0.6090000000000373,False
Brake_Pedal_Read,700.831,706.065,5.234000000000037,5,0.2340000000000373,True
ABS_Control,707.228,716.228,9.0,10,-1.0,False
Brake_Output,717.949,724.38,6.43100000000004,5,1.43100000000004,True
Brake_Pedal_Read,726.26,731.492,5.231999999999971,5,0.2319999999999709,True
ABS_Control,732.237,742.118,9.881000000000085,10,-0.11899999999991451,False
Brake_Output,744.08,749.727,5.6469999999999345,5,0.6469999999999345,True
Brake_Pedal_Read,751.478,756.145,4.66700000000003,5,-0.33299999999997,False
ABS_Control,757.562,766.572,9.009999999999991,10,-0.9900000000000091,False
Brake_Output,767.427,772.354,4.927000000000021,5,-0.07299999999997908,False
Brake_Pedal_Read,773.287,778.345,5.057999999999993,5,0.057999999999992724,True
ABS_Control,778.966,787.122,8.155999999999949,10,-1.844000000000051,False
Brake_Output,787.627,792.867,5.240000000000009,5,0.2400000000000091,True
Brake_Pedal_Read,794.806,800.496,5.689999999999941,5,0.6899999999999409,True
ABS_Control,801.536,814.004,12.468000000000075,10,2.4680000000000746,True
Brake_Output,815.291,821.016,5.724999999999909,5,0.724999999999909,True
Brake_Pedal_Read,822.595,827.179,4.583999999999946,5,-0.41600000000005366,False
ABS_Control,828.039,839.475,11.436000000000035,10,1.4360000000000355,True
Brake_Output,840.064,846.799,6.735000000000014,5,1.7350000000000136,True
Brake_Pedal_Read,847.452,854.291,6.8390000000000555,5,1.8390000000000555,True
ABS_Control,855.163,866.314,11.150999999999954,10,1.1509999999999536,True
Brake_Output,867.837,873.37,5.5330000000000155,5,0.5330000000000155,True
Brake_Pedal_Read,875.257,881.635,6.378000000000043,5,1.3780000000000427,True
ABS_Control,883.4,894.611,11.211000000000013,10,1.2110000000000127,True
Brake_Output,895.92,902.105,6.185000000000059,5,1.1850000000000591,True
Brake_Pedal_Read,903.189,910.166,6.977000000000089,5,1.9770000000000891,True
ABS_Control,910.715,922.333,11.617999999999938,10,1.6179999999999382,True
Brake_Output,923.02,929.345,6.3250000000000455,5,1.3250000000000455,True
Brake_Pedal_Read,929.999,934.961,4.961999999999989,5,-0.038000000000010914,False
ABS_Control,936.206,945.04,8.833999999999946,10,-1.1660000000000537,False
Brake_Output,946.033,951.574,5.54099999999994,5,0.54099999999994,True
Brake_Pedal_Read,953.182,958.414,5.231999999999971,5,0.2319999999999709,True
ABS_Control,960.199,970.151,9.951999999999998,10,-0.04800000000000182,False
Brake_Output,970.842,977.603,6.760999999999967,5,1.7609999999999673,True
Brake_Pedal_Read,978.932,984.115,5.182999999999993,5,0.18299999999999272,True
ABS_Control,985.728,995.959,10.230999999999995,10,0.23099999999999454,True
Brake_Output,997.145,1001.703,4.557999999999993,5,-0.4420000000000073,False
Brake_Pedal_Read,1003.122,1008.882,5.759999999999991,5,0.7599999999999909,True
ABS_Control,1010.136,1021.424,11.288000000000011,10,1.288000000000011,True
Brake_Output,1022.207,1026.329,4.121999999999957,5,-0.8780000000000427,False
Brake_Pedal_Read,1027.98,1032.331,4.350999999999885,5,-0.6490000000001146,False
ABS_Control,1033.394,1045.904,12.509999999999991,10,2.509999999999991,True
Brake_Output,1046.999,1052.84,5.8409999999998945,5,0.8409999999998945,True
Brake_Pedal_Read,1054.017,1058.065,4.048000000000002,5,-0.9519999999999982,False
ABS_Control,1058.693,1072.186,13.492999999999938,10,3.492999999999938,True
Brake_Output,1072.727,1078.672,5.944999999999936,5,0.9449999999999363,True
Brake_Pedal_Read,1080.276,1085.866,5.589999999999918,5,0.5899999999999181,True
ABS_Control,1086.63,1097.8,11.169999999999845,10,1.1699999999998454,True
Brake_Output,1099.741,1103.968,4.227000000000089,5,-0.7729999999999109,False
Brake_Pedal_Read,1104.894,1109.019,4.125,5,-0.875,False
ABS_Control,1109.777,1123.575,13.798000000000002,10,3.798000000000002,True
Brake_Output,1124.79,1129.218,4.428000000000111,5,-0.571999999999889,False
Brake_Pedal_Read,1130.095,1134.146,4.050999999999931,5,-0.9490000000000691,False
ABS_Control,1134.774,1148.337,13.563000000000102,10,3.563000000000102,True
Brake_Output,1149.028,1154.519,5.4909999999999854,5,0.49099999999998545,True
Brake_Pedal_Read,1155.058,1160.596,5.538000000000011,5,0.5380000000000109,True
ABS_Control,1161.236,1172.431,11.194999999999936,10,1.1949999999999363,True
Brake_Output,1173.522,1179.307,5.785000000000082,5,0.7850000000000819,True
Brake_Pedal_Read,1179.878,1184.295,4.417000000000144,5,-0.5829999999998563,False
ABS_Control,1185.666,1195.17,9.504000000000133,10,-0.4959999999998672,False
Brake_Output,1196.344,1203.327,6.982999999999947,5,1.9829999999999472,True
Brake_Pedal_Read,1204.952,1209.378,4.425999999999931,5,-0.5740000000000691,False
ABS_Control,1210.549,1221.414,10.865000000000009,10,0.8650000000000091,True
Brake_Output,1222.902,1227.504,4.601999999999862,5,-0.39800000000013824,False
Brake_Pedal_Read,1228.142,1234.245,6.102999999999838,5,1.102999999999838,True
ABS_Control,1234.912,1242.943,8.030999999999949,10,-1.969000000000051,False
Brake_Output,1244.238,1251.219,6.9809999999999945,5,1.9809999999999945,True
Brake_Pedal_Read,1253.216,1259.652,6.436000000000149,5,1.4360000000001492,True
ABS_Control,1261.054,1272.483,11.42899999999986,10,1.42899999999986,True
Brake_Output,1274.203,1278.678,4.475000000000136,5,-0.5249999999998636,False
